cidade,mes_referencia,timestamp,ortodontia,clinico_geral,profilaxia,restauracao,avaliacoes_novas
Caxias,2026-02,2026-03-09T16:32:17.839897,R$ 0,R$ 0,0,0,-285
Farroupilha,2026-02,2026-03-09T16:32:24.568440,R$ 0,R$ 0,0,0,-173
Bento,2026-02,2026-03-09T16:32:31.643747,R$ 0,R$ 0,0,0,-76
Encantado,2026-02,2026-03-09T16:32:38.861318,R$ 0,R$ 0,0,0,-206
Soledade,2026-02,2026-03-09T16:32:46.173191,R$ 0,R$ 0,0,0,-413
Garibaldi,2026-02,2026-03-09T16:32:52.781268,R$ 0,R$ 0,0,0,-128
Veranópolis,2026-02,2026-03-09T16:32:59.348491,R$ 0,R$ 0,0,0,-128
SS do Caí,2026-02,2026-03-09T16:33:06.692307,R$ 0,R$ 0,0,0,-88
Flores,2026-02,2026-03-09T16:33:14.626926,R$ 0,R$ 0,0,0,-96
Caxias,2026-02,2026-03-09T17:24:52.090862,R$ 0,R$ 0,0,0,-285
Farroupilha,2026-02,2026-03-09T17:25:23.234173,R$ 0,R$ 0,0,0,-173
Bento,2026-02,2026-03-09T17:25:54.191697,R$ 0,R$ 0,0,0,-76
Encantado,2026-02,2026-03-09T17:26:25.265157,R$ 0,R$ 0,0,0,-206
Soledade,2026-02,2026-03-09T17:26:56.112300,R$ 0,R$ 0,0,0,-413
Garibaldi,2026-02,2026-03-09T17:27:27.202793,R$ 0,R$ 0,0,0,-128
Veranópolis,2026-02,2026-03-09T17:27:58.091771,R$ 0,R$ 0,0,0,-128
SS do Caí,2026-02,2026-03-09T17:28:29.515154,R$ 0,R$ 0,0,0,-88
Caxias,2026-02,2026-03-09T17:47:17.013143,R$ 0,R$ 0,0,0,-285
Farroupilha,2026-02,2026-03-09T17:47:47.867976,R$ 0,R$ 0,0,0,-173
Bento,2026-02,2026-03-09T17:48:18.980813,R$ 0,R$ 0,0,0,-76
Encantado,2026-02,2026-03-09T17:48:49.929120,R$ 0,R$ 0,0,0,-206
Soledade,2026-02,2026-03-09T17:49:20.439929,R$ 0,R$ 0,0,0,-413
Garibaldi,2026-02,2026-03-09T17:49:51.943708,R$ 0,R$ 0,0,0,-128
Veranópolis,2026-02,2026-03-09T17:50:23.796410,R$ 0,R$ 0,0,0,-128
SS do Caí,2026-02,2026-03-09T17:50:54.627171,R$ 0,R$ 0,0,0,-88
Caxias,2026-03,2026-03-09T20:14:58.402136,R$ 0,R$ 0,0,0,-285
Farroupilha,2026-03,2026-03-09T20:15:22.882161,R$ 0,R$ 0,0,0,-173
Bento,2026-03,2026-03-09T20:15:48.384449,R$ 0,R$ 0,0,0,-76
Encantado,2026-03,2026-03-09T20:16:14.107404,R$ 0,R$ 0,0,0,-206
